pickup_hour,name,id,LocationID,Zone,service_zone,VendorID,num_rides_per_hour,trip_distance,fare_amount,total_amount,congestion_surcharge,total_plus_surcharge
2022-01-01 00:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,95,292.08,1283.5,1812.29,227.5,2039.79
2022-01-01 01:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,102,258.39,1219.5,1797.71,242.5,2040.21
2022-01-01 02:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,91,242.2,1153.0,1725.9,222.5,1948.4
2022-01-01 03:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,51,102.03,501.2,786.42,112.5,898.92
2022-01-01 04:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,28,74.85,332.5,568.4,67.5,635.9
2022-01-01 05:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,24,63.82,255.0,373.82,52.5,426.32
2022-01-01 06:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,20,48.92,177.0,273.21000000000004,50.0,323.21000000000004
2022-01-01 07:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,32,119.36,422.5,610.57,77.5,688.07
2022-01-01 08:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,35,145.43,507.5,712.1,80.0,792.1
2022-01-01 09:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,55,169.82,623.0,907.98,132.5,1040.48
2022-01-01 10:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,98,284.23,1071.0,1581.5,230.0,1811.5
2022-01-01 11:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,126,347.78,1396.5,2115.61,302.5,2418.11
2022-01-01 12:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,161,306.39,1375.0,2169.07,392.5,2561.57
2022-01-01 13:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,154,440.71,1744.5,2566.69,377.5,2944.19
2022-01-01 14:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,167,564.38,2177.5,3092.42,397.5,3489.92
2022-01-01 15:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,187,442.89,2015.0,2981.13,455.0,3436.13
2022-01-01 16:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,235,695.83,3066.0,4376.72,557.5,4934.22
2022-01-01 17:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,212,692.69,2988.5,4193.52,515.0,4708.52
2022-01-01 18:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,182,460.74,2178.5,3088.52,422.5,3511.02
2022-01-01 19:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,130,360.98,1605.5,2306.69,297.5,2604.19
2022-01-01 20:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,97,301.87,1238.0,1801.41,217.5,2018.91
2022-01-01 21:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,85,208.81,940.0,1439.97,190.0,1629.97
2022-01-01 22:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,110,348.03000000000003,1398.05,2049.91,237.5,2287.41
2022-01-01 23:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,51,168.3,631.5,956.95,112.5,1069.45
2022-01-02 00:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,28,164.95,456.5,630.22,52.5,682.72
2022-01-02 01:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,22,126.91,446.5,603.91,50.0,653.91
2022-01-02 02:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,16,27.46,124.5,207.53,40.0,247.53
2022-01-02 03:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,10,52.22,170.0,252.5,22.5,275.0
2022-01-02 04:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,11,18.58,84.0,140.41,27.5,167.91
2022-01-02 05:00:00,Madison Square Garden,KovZpZA7AAEA,100,Garment District,Yellow Zone,2,3,25.03,69.0,90.85,7.5,98.35
2022-01-02 06:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,27,96.42,329.5,472.93,60.0,532.9300000000001
2022-01-02 07:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,30,100.47,361.0,498.27,65.0,563.27
2022-01-02 08:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,50,177.3,627.0,902.94,117.5,1020.44
2022-01-02 09:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,94,219.35,847.0,1342.8700000000001,220.0,1562.8700000000001
2022-01-02 10:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,134,320.81,1309.5,1977.74,312.5,2290.24
2022-01-02 11:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,160,330.43,1443.71,2264.77,377.5,2642.27
2022-01-02 12:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,1,183,467.88,2000.3,2971.09,440.0,3411.09
2022-01-02 13:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,200,557.42,2250.36,3335.36,480.0,3815.36
2022-01-02 14:00:00,Madison Square Garden,KovZpZA7AAEA,161,Midtown Center,Yellow Zone,2,205,500.73,2399.48,3476.94,497.5,3974.44
